song_name,singer,song_id,cluster
Samurai,TH3 DARP,359XIIbRK5wZ9qmvCYXGOL,18
Samurai,Godmode,359XIIbRK5wZ9qmvCYXGOL,18
Ghost Town,Layto,1b7DozY0xHWXU1T84Lck1z,13
Ghost Town,Neoni,1b7DozY0xHWXU1T84Lck1z,13
Revenge - Remix,Tryhardninja,2GO3CaepDf3I1UcdPNCWbv,17
Revenge - Remix,Approaching Nirvana,2GO3CaepDf3I1UcdPNCWbv,17
Glad You Came,The Wanted,3AGOgQzp0YcPH41u9p7dOp,3
Bad Lil Vibe (feat. Jeremih),KSI,04zis09KAgMvMod8Eohrp1,16
Bad Lil Vibe (feat. Jeremih),Jeremih,04zis09KAgMvMod8Eohrp1,16
Ambulance,june,6Hg0gJtvyhKIVuy7qp0cRJ,17
100 Bad Days,AJR,0WmH9fXWCQ51RQi1kWPJrI,18
1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie),Ed Sheeran,4vIKzWqtn44umal5jXq4wE,12
1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie),Meek Mill,4vIKzWqtn44umal5jXq4wE,12
1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie),A Boogie Wit da Hoodie,4vIKzWqtn44umal5jXq4wE,12
Old Town Road,Lil Nas X,0F7FA14euOIX8KcbEturGH,13
In My Mind,Dynoro,0E9ZjEAyAwOXZ7wJC0PD33,13
In My Mind,Gigi D'Agostino,0E9ZjEAyAwOXZ7wJC0PD33,13
Sniper Gang Freestyle,22Gz,12hfZNWtZInct3l8nT3c9O,15
Freestyle,Rod Wave,5qDvFFyctACHvs2gi3uu71,1
Deep End Freestyle,Sleepy Hallow,2AlYncTpVHKwHb55F9lF6O,10
Deep End Freestyle,Fousheé,2AlYncTpVHKwHb55F9lF6O,10
The Calling,TheFatRat,2k1bFfcPIRTMeCGO48F0OE,3
The Calling,Laura Brehm,2k1bFfcPIRTMeCGO48F0OE,3
Burn The House Down,AJR,0TkJIyL69RAUIbNwGub6uR,16
Bang!,AJR,53BHUFdQphHiZUUG3nx9zn,4
Fight Back,NEFFEX,6KigD0mlF4VGDYiSEzAyYw,13
Rumors,NEFFEX,7wOqBOryVGD3nqDUihDSwL,13
The Among Us Rap Battle (Killer on the Floor),NerdOut,0vWg2qGAdSGGsgmyVgb4ox,17
The Among Us Rap Battle (Killer on the Floor),CG5,0vWg2qGAdSGGsgmyVgb4ox,17
Among Us - Trap Remix,Leonz,1sqoFAF7asvG3Y7ELGsT5M,16
Never Be Alone,TheFatRat,6RSIVvksolVFbjyJypupki,13
Blixky Gang Freestyle,22Gz,3mckyat5lAxzBWCijrrOl8,10
We'll Meet Again,TheFatRat,0saGACKtFP1ZVW4Nd4IkCw,15
We'll Meet Again,Laura Brehm,0saGACKtFP1ZVW4Nd4IkCw,15
Rise Up,TheFatRat,6inzGTxyGsXVjpVKtFGrcE,3
Castle,Clarx,1pupNTwKQvDYZTCOvHiwvO,7
Castle,Harddope,1pupNTwKQvDYZTCOvHiwvO,7
Fly Away,TheFatRat,0hTrQoqDmFnA4S1PC265e1,15
Fly Away,Anjulie,0hTrQoqDmFnA4S1PC265e1,15
Wolves,Selena Gomez,0tBbt8CrmxbjRP0pueQkyU,3
Wolves,Marshmello,0tBbt8CrmxbjRP0pueQkyU,3
Mood (feat. iann dior),24kGoldn,4jPy3l0RUwlUI9T5XHBW2m,3
Mood (feat. iann dior),iann dior,4jPy3l0RUwlUI9T5XHBW2m,3
THATS WHAT I WANT,Lil Nas X,0e8nrvls4Qqv5Rfa2UhqmO,15
Rob A Bank,Confetti,4DZ1owekDuxYANUMiqe4mA,15
Wants Me,notstellar,2no6Ss0SXj3vDzjyW1yP8c,10
To the Grave,Josh A,3ZEBSDHTsa2de83Q0BeY8e,15
To the Grave,iamjakehill,3ZEBSDHTsa2de83Q0BeY8e,15
Overwhelmed (Ryan Mack Remix),Ryan Mack,03eyNjBM2mpx28H6kdaufN,15
Little Poor Me,Layto,6TqoydI7ZJdRkwBgPYy7eb,16
Flutter,Diamond Eyes,4SChm6bJIwNRpaWzN6iPTr,1
Hold On,Justin Bieber,1nahzW3kfMuwReTka28tH5,15
Rule the World,Zayde Wølf,5Xsh6OAQNRJrjYWdaWUuEN,16
Luigi's Lament,Alex Walker Smith,7FxF1HAOQlPr9K4oNZ4dmw,16
Everything Black,Unlike Pluto,3UEnF6y5tyHVtMzldS3svp,15
Everything Black,Mike Taylor,3UEnF6y5tyHVtMzldS3svp,15
Seasons,Rival,3YFBT7K58eMzMSoVYGVsx1,7
Seasons,CADMIUM,3YFBT7K58eMzMSoVYGVsx1,7
Seasons,Harley Bird,3YFBT7K58eMzMSoVYGVsx1,7
Invisible,Julius Dreisig,2BgagqJWYfrKPhz3f5V0Sw,16
Invisible,Zeus X Crona,2BgagqJWYfrKPhz3f5V0Sw,16
Blur,Stellar,16Azhyv8164hYxI8Ax3F5k,13
Real Love,Levianth,6wGlsvDsxVJM5saINmf5p2,7
Real Love,Acejax,6wGlsvDsxVJM5saINmf5p2,7
That’s Just My Baby Doge,Chicky Milky,5ThWKh6YhRBB3oGRbZyCh1,18
Green Gang,The Boys,6ZNGS4Uq68aogsIvXBzog0,16
Skin,Rome in Silver,28ipV6hkWWpUk4DZ5dU7lX,18
Skin,Beach Season,28ipV6hkWWpUk4DZ5dU7lX,18
Hot Girl Bummer,JK Jones,6Y56cpydpEGigrAhmQPPOD,19
Cold-Blooded,Zayde Wølf,1kKPRIlPOXmaAMlYxY8sSS,7
Dude's a Beast (Can't We Just Kill Each Other In Peace),The Gregory Brothers,1e1WMeuIpokepaCDzXEpBa,18
Dude's a Beast (Can't We Just Kill Each Other In Peace),Jacksepticeye,1e1WMeuIpokepaCDzXEpBa,18
Meant To Be,Arc North,4unpXe9GYrqsD3eIL3QGZp,1
Meant To Be,Krista Marina,4unpXe9GYrqsD3eIL3QGZp,1
I Am Defiant,The Seige,4ePKbzLwkIBslceokt2iXZ,17
Heartless,Jacob Tillberg,1GQInBhND3v37Hn6hKbW2b,17
Heartless,Johnning,1GQInBhND3v37Hn6hKbW2b,17
Goosebumps - Remix,Travis Scott,5uEYRdEIh9Bo4fpjDd4Na9,13
Goosebumps - Remix,HVME,5uEYRdEIh9Bo4fpjDd4Na9,13
Take on Me,a-ha,2WfaOiMkCvy7F5fcp2zZ8L,3
"In the Final (From ""Mario and Luigi: Bowser's Inside Story"")",Man on the Internet,3RkaaE7tBFfZkhHJe1As4b,1
Stal,C418,3YJtGYHVxcUa6EMSqHtIiW,14
Fortnite's Kinda Dying,DJ Corona,450jvUl3XUgHTPfxXevLzv,18
Dark Thoughts,Foti,4mfk4o2gJxdW8zCG2T79rQ,4
Dark Thoughts,Josh A,4mfk4o2gJxdW8zCG2T79rQ,4
Eeeaaaooo,Xguiz,6tOJm3QnlnZkJiahtwpCnG,1
Eeeaaaooo,Patricia Taxxon,6tOJm3QnlnZkJiahtwpCnG,1
Hentai Bitch,Shiki-TMNS,38yqKz2oVyauelwQVHvL2I,12
Hentai Bitch,Kodama Boy,38yqKz2oVyauelwQVHvL2I,12
Hentai Bitch,Big Gay,38yqKz2oVyauelwQVHvL2I,12
Habits (Stay High),Arcando,35zMHLsN7awTR3wEpdtXC3,15
Habits (Stay High),Nito-Onna,35zMHLsN7awTR3wEpdtXC3,15
Alone,Nico Collins,0Lu9pdU9sOqI2jFwxfztCb,15
American Cup Song but It's the Gamecube Intro,RevoMemel,5b2RiAzXV0802G5F6u9qkn,19
Dancing Polish Cow - SAMString Remix,Samstring,3JHHJp2C3yNe0QS1EeA1xB,19
Song of the Vikings (My Mother Told Me),Perly I Lotry,0cc6vT6QJA8e39CiCGmA8B,15
Long Night,JPB,7nxSIJKV6CorIHHpud0x4t,7
Long Night,Marvin Divine,7nxSIJKV6CorIHHpud0x4t,7
In My Mind,EMDI,7EBEtUEMRKDS1c6Ku9CyqB,7
In My Mind,Kvmo,7EBEtUEMRKDS1c6Ku9CyqB,7
In My Mind,Alex Holmes,7EBEtUEMRKDS1c6Ku9CyqB,7
Astronomia (Coffin Dance Song) [Minecraft Note Blocks],grande1899,2oMjc7AGwZSfJPFc0oEZLS,14
The Banjo Beat - Remix,Kit Kot,6G8oPJqGNdRDPdToeihANF,14
Walking Soldier,Killrude,7EvIC2ddIlU1ETLNuCkh5m,4
Legends Never Die,Axile,2UsEN3vrpz8Zat9FTy1B46,4
Legends Never Die,Elisha Sounds,2UsEN3vrpz8Zat9FTy1B46,4
Astral Projection,Hallmore,3ooTKrHtMv36F8oinsfGdp,15
The Hills,Poylow,5a1gypEOG5cCgwVtutqwAF,4
The Hills,Kédo Rebelle,5a1gypEOG5cCgwVtutqwAF,4
The Hills,Ivan Jamile,5a1gypEOG5cCgwVtutqwAF,4
All I Need,Slushii,3Fpd2bYU5uc0C5DvIzsMzw,13
All I Need,Aviella,3Fpd2bYU5uc0C5DvIzsMzw,13
Good Golly,The S.P.Joy,6TqaVAg8Lr6WPJ4Dybnnyl,3
New Americana,Mostus,1UXrXVbD773QAizCRvPOww,7
Red Kingdom,Tech N9ne,5buj0D6E7rCRFi3xV9STYo,3
Banjo Baby,Nice Flaco,7siLcDSY1ohP5acgnscgmg,18
The Chicken Wing Beat,Zilly Zil,2kxMwk240FzRh3neYBucuX,10
Fishy on Me,Tiko,59QZJuUWAKLF03GdYduxg0,12
